"radios","LINK","comuna","fraccion","radio","CO_FRAC_RA","Hasta   0.50 personas por cuarto","0.51  -  0.99  personas por cuarto","1.00  -  1.49  personas por cuarto","1.50  -  1.99  personas por cuarto","2.00  -  3.00  personas por cuarto","Más de  3.00 personas por cuarto"
"AREA#020010713","020010713",1,7,13,"1_7_13",38,13,36,3,9,2
"AREA#020010801","020010801",1,8,1,"1_8_1",40,14,36,3,7,0
"AREA#020010802","020010802",1,8,2,"1_8_2",43,15,31,2,8,1
"AREA#020010803","020010803",1,8,3,"1_8_3",43,14,30,3,10,0
"AREA#020010804","020010804",1,8,4,"1_8_4",42,9,36,4,8,1
"AREA#020010805","020010805",1,8,5,"1_8_5",33,7,43,3,14,1
"AREA#020010806","020010806",1,8,6,"1_8_6",42,14,34,1,7,1
"AREA#020010807","020010807",1,8,7,"1_8_7",49,22,24,2,3,0
"AREA#020010808","020010808",1,8,8,"1_8_8",46,16,27,3,8,0
"AREA#020010809","020010809",1,8,9,"1_8_9",40,19,32,5,4,0
"AREA#020010810","020010810",1,8,10,"1_8_10",34,12,35,8,11,0
"AREA#020010901","020010901",1,9,1,"1_9_1",48,16,24,3,6,2
"AREA#020010902","020010902",1,9,2,"1_9_2",40,16,25,6,12,2
"AREA#020010903","020010903",1,9,3,"1_9_3",45,8,34,4,9,1
"AREA#020010904","020010904",1,9,4,"1_9_4",30,9,37,7,16,1
"AREA#020010905","020010905",1,9,5,"1_9_5",34,11,27,5,18,5
"AREA#020010906","020010906",1,9,6,"1_9_6",22,6,46,7,18,1
"AREA#020010907","020010907",1,9,7,"1_9_7",26,4,49,4,16,1
"AREA#020010908","020010908",1,9,8,"1_9_8",50,4,27,9,8,1
"AREA#020010909","020010909",1,9,9,"1_9_9",41,8,36,3,10,1
"AREA#020010910","020010910",1,9,10,"1_9_10",47,9,31,4,8,0
"AREA#020010911","020010911",1,9,11,"1_9_11",43,9,36,8,3,0
"AREA#020010912","020010912",1,9,12,"1_9_12",42,9,33,5,8,3
"AREA#020010913","020010913",1,9,13,"1_9_13",32,26,34,6,1,0
"AREA#020010914","020010914",1,9,14,"1_9_14",30,5,51,3,9,1
"AREA#020010915","020010915",1,9,15,"1_9_15",43,6,36,3,9,3
"AREA#020010916","020010916",1,9,16,"1_9_16",17,5,45,4,25,4
"AREA#020010917","020010917",1,9,17,"1_9_17",23,1,51,3,18,3
"AREA#020010918","020010918",1,9,18,"1_9_18",45,5,34,5,11,1
"AREA#020010919","020010919",1,9,19,"1_9_19",30,10,44,7,10,0
"AREA#020011001","020011001",1,10,1,"1_10_1",47,21,24,3,4,2
"AREA#020011002","020011002",1,10,2,"1_10_2",42,13,35,4,7,0
"AREA#020011003","020011003",1,10,3,"1_10_3",37,11,36,2,12,3
"AREA#020011004","020011004",1,10,4,"1_10_4",45,15,30,4,7,0
"AREA#020011005","020011005",1,10,5,"1_10_5",41,17,32,3,6,1
"AREA#020011006","020011006",1,10,6,"1_10_6",31,18,34,4,11,1
"AREA#020011007","020011007",1,10,7,"1_10_7",33,8,43,7,10,0
"AREA#020011008","020011008",1,10,8,"1_10_8",31,5,40,5,19,0
"AREA#020011009","020011009",1,10,9,"1_10_9",24,17,36,3,19,1
"AREA#020011010","020011010",1,10,10,"1_10_10",29,10,33,7,18,3
"AREA#020011011","020011011",1,10,11,"1_10_11",33,11,42,4,9,0
"AREA#020011012","020011012",1,10,12,"1_10_12",40,18,30,2,9,1
"AREA#020011013","020011013",1,10,13,"1_10_13",36,8,42,5,8,2
"AREA#020011014","020011014",1,10,14,"1_10_14",28,6,44,8,12,2
"AREA#020011101","020011101",1,11,1,"1_11_1",19,8,54,3,15,1
"AREA#020011102","020011102",1,11,2,"1_11_2",32,4,44,4,14,2
"AREA#020011103","020011103",1,11,3,"1_11_3",18,3,53,2,21,4
"AREA#020011104","020011104",1,11,4,"1_11_4",42,11,33,2,10,1
"AREA#020011105","020011105",1,11,5,"1_11_5",25,10,42,3,18,3
"AREA#020011106","020011106",1,11,6,"1_11_6",31,9,41,5,13,1
"AREA#020011107","020011107",1,11,7,"1_11_7",27,13,42,4,13,1
"AREA#020011108","020011108",1,11,8,"1_11_8",39,13,31,7,10,0
"AREA#020011109","020011109",1,11,9,"1_11_9",32,16,34,6,11,0
"AREA#020011110","020011110",1,11,10,"1_11_10",35,13,37,5,10,0
"AREA#020011111","020011111",1,11,11,"1_11_11",39,10,32,6,12,2
"AREA#020011112","020011112",1,11,12,"1_11_12",34,16,37,4,8,1
"AREA#020011113","020011113",1,11,13,"1_11_13",32,14,36,4,12,1
"AREA#020011114","020011114",1,11,14,"1_11_14",33,9,40,7,10,0
"AREA#020011201","020011201",1,12,1,"1_12_1",34,5,29,5,23,3
"AREA#020011202","020011202",1,12,2,"1_12_2",17,19,44,2,14,3
"AREA#020011203","020011203",1,12,3,"1_12_3",25,6,44,6,19,1
"AREA#020011204","020011204",1,12,4,"1_12_4",17,4,64,5,11,0
"AREA#020011205","020011205",1,12,5,"1_12_5",43,11,27,3,12,4
"AREA#020011206","020011206",1,12,6,"1_12_6",32,16,33,3,13,3
"AREA#020011207","020011207",1,12,7,"1_12_7",18,8,42,5,22,4
"AREA#020011208","020011208",1,12,8,"1_12_8",43,2,36,2,16,1
"AREA#020011209","020011209",1,12,9,"1_12_9",35,9,34,6,10,6
"AREA#020011210","020011210",1,12,10,"1_12_10",28,3,45,4,21,0
"AREA#020011211","020011211",1,12,11,"1_12_11",48,7,30,5,10,0
"AREA#020011212","020011212",1,12,12,"1_12_12",33,6,36,8,17,1
"AREA#020011301","020011301",1,13,1,"1_13_1",39,33,26,1,1,0
"AREA#020011302","020011302",1,13,2,"1_13_2",40,33,25,2,0,0
"AREA#020011303","020011303",1,13,3,"1_13_3",30,20,40,5,5,0
"AREA#020011304","020011304",1,13,4,"1_13_4",35,33,25,4,3,0
"AREA#020011305","020011305",1,13,5,"1_13_5",34,20,42,3,1,0
"AREA#020011306","020011306",1,13,6,"1_13_6",49,22,28,1,0,0
"AREA#020011307","020011307",1,13,7,"1_13_7",38,28,31,2,1,0
"AREA#020011308","020011308",1,13,8,"1_13_8",44,26,28,1,0,0
"AREA#020011309","020011309",1,13,9,"1_13_9",41,34,24,1,0,0
"AREA#020011310","020011310",1,13,10,"1_13_10",40,30,22,4,3,1
"AREA#020011311","020011311",1,13,11,"1_13_11",43,23,27,2,4,1
"AREA#020011312","020011312",1,13,12,"1_13_12",43,23,30,4,0,0
"AREA#020011313","020011313",1,13,13,"1_13_13",40,19,35,2,4,0
"AREA#020011314","020011314",1,13,14,"1_13_14",10,7,32,8,33,10
"AREA#020011401","020011401",1,14,1,"1_14_1",27,6,41,4,17,4
"AREA#020011402","020011402",1,14,2,"1_14_2",22,9,29,12,22,6
"AREA#020011403","020011403",1,14,3,"1_14_3",33,7,32,6,16,6
"AREA#020011404","020011404",1,14,4,"1_14_4",51,13,33,0,3,0
"AREA#020011405","020011405",1,14,5,"1_14_5",23,7,43,4,17,6
"AREA#020011406","020011406",1,14,6,"1_14_6",32,15,23,5,17,9
"AREA#020011407","020011407",1,14,7,"1_14_7",48,14,29,5,4,0
"AREA#020011408","020011408",1,14,8,"1_14_8",16,10,39,3,27,5
"AREA#020011409","020011409",1,14,9,"1_14_9",35,13,34,3,13,1
"AREA#020011410","020011410",1,14,10,"1_14_10",44,22,25,2,6,0
"AREA#020011411","020011411",1,14,11,"1_14_11",35,10,35,4,16,0
"AREA#020011412","020011412",1,14,12,"1_14_12",37,15,28,3,11,6
"AREA#020011501","020011501",1,15,1,"1_15_1",31,11,35,4,15,4
"AREA#020011502","020011502",1,15,2,"1_15_2",29,9,37,7,15,3
"AREA#020011503","020011503",1,15,3,"1_15_3",40,14,31,4,11,0
"AREA#020011504","020011504",1,15,4,"1_15_4",53,19,20,2,5,0
"AREA#020011505","020011505",1,15,5,"1_15_5",34,12,34,6,13,2
"AREA#020011506","020011506",1,15,6,"1_15_6",23,10,40,5,17,5
"AREA#020011507","020011507",1,15,7,"1_15_7",31,7,42,7,11,1
"AREA#020011508","020011508",1,15,8,"1_15_8",24,12,30,6,16,13
"AREA#020011509","020011509",1,15,9,"1_15_9",26,12,32,6,18,6
"AREA#020011510","020011510",1,15,10,"1_15_10",36,16,36,4,7,1
"AREA#020011511","020011511",1,15,11,"1_15_11",20,9,39,5,24,4
"AREA#020011601","020011601",1,16,1,"1_16_1",28,14,35,4,16,3
"AREA#020011602","020011602",1,16,2,"1_16_2",29,7,43,3,16,2
"AREA#020011603","020011603",1,16,3,"1_16_3",26,7,49,1,15,2
"AREA#020011604","020011604",1,16,4,"1_16_4",27,2,51,4,15,0
"AREA#020011605","020011605",1,16,5,"1_16_5",18,12,34,6,24,6
"AREA#020011606","020011606",1,16,6,"1_16_6",35,14,31,6,9,6
"AREA#020011607","020011607",1,16,7,"1_16_7",28,14,35,2,18,3
"AREA#020011608","020011608",1,16,8,"1_16_8",35,10,31,10,10,3
"AREA#020011609","020011609",1,16,9,"1_16_9",44,24,22,4,5,1
"AREA#020011610","020011610",1,16,10,"1_16_10",41,21,30,4,4,0
"AREA#020011611","020011611",1,16,11,"1_16_11",38,13,33,4,11,0
"AREA#020011612","020011612",1,16,12,"1_16_12",42,20,29,2,7,0
"AREA#020011701","020011701",1,17,1,"1_17_1",31,11,35,6,15,2
"AREA#020011702","020011702",1,17,2,"1_17_2",26,13,36,4,17,4
"AREA#020011703","020011703",1,17,3,"1_17_3",29,12,32,6,17,4
"AREA#020011704","020011704",1,17,4,"1_17_4",36,8,36,8,10,3
"AREA#020011705","020011705",1,17,5,"1_17_5",32,16,33,2,12,5
"AREA#020011706","020011706",1,17,6,"1_17_6",24,14,44,2,15,1
"AREA#020011707","020011707",1,17,7,"1_17_7",27,14,35,5,18,2
"AREA#020011708","020011708",1,17,8,"1_17_8",25,13,42,3,14,4
"AREA#020011709","020011709",1,17,9,"1_17_9",27,7,44,8,13,1
"AREA#020011710","020011710",1,17,10,"1_17_10",38,10,29,5,15,2
"AREA#020011711","020011711",1,17,11,"1_17_11",38,17,24,6,14,1
"AREA#020011801","020011801",1,18,1,"1_18_1",28,12,40,2,16,2
"AREA#020011802","020011802",1,18,2,"1_18_2",32,10,41,5,11,1
"AREA#020011803","020011803",1,18,3,"1_18_3",27,15,39,6,13,1
"AREA#020011804","020011804",1,18,4,"1_18_4",28,12,43,4,11,2
"AREA#020011805","020011805",1,18,5,"1_18_5",32,12,38,4,11,3
"AREA#020011806","020011806",1,18,6,"1_18_6",25,13,34,5,16,6
"AREA#020011807","020011807",1,18,7,"1_18_7",26,18,38,2,12,4
"AREA#020011808","020011808",1,18,8,"1_18_8",30,19,34,5,10,2
"AREA#020011809","020011809",1,18,9,"1_18_9",33,13,33,8,13,1
"AREA#020011901","020011901",1,19,1,"1_19_1",29,12,34,4,18,3
"AREA#020011902","020011902",1,19,2,"1_19_2",32,12,36,9,11,1
"AREA#020011903","020011903",1,19,3,"1_19_3",34,26,26,8,6,1
"AREA#020011904","020011904",1,19,4,"1_19_4",35,17,32,6,9,2
"AREA#020011905","020011905",1,19,5,"1_19_5",38,17,32,4,7,2
"AREA#020011906","020011906",1,19,6,"1_19_6",20,8,43,1,25,3
"AREA#020011907","020011907",1,19,7,"1_19_7",21,11,37,7,23,2
"AREA#020011908","020011908",1,19,8,"1_19_8",12,3,44,6,29,6
"AREA#020011909","020011909",1,19,9,"1_19_9",35,14,35,6,6,3
"AREA#020012001","020012001",1,20,1,"1_20_1",24,10,36,5,19,6
"AREA#020012002","020012002",1,20,2,"1_20_2",35,12,31,7,13,1
"AREA#020012003","020012003",1,20,3,"1_20_3",28,17,34,6,13,1
"AREA#020012004","020012004",1,20,4,"1_20_4",31,15,36,7,10,2
"AREA#020012005","020012005",1,20,5,"1_20_5",37,11,37,3,11,2
"AREA#020012006","020012006",1,20,6,"1_20_6",35,14,34,4,10,2
"AREA#020012007","020012007",1,20,7,"1_20_7",28,20,39,5,7,1
"AREA#020012008","020012008",1,20,8,"1_20_8",14,8,40,8,27,4
"AREA#020012009","020012009",1,20,9,"1_20_9",30,13,32,8,14,3
"AREA#020012010","020012010",1,20,10,"1_20_10",25,13,29,7,15,12
"AREA#020012101","020012101",1,21,1,"1_21_1",27,9,30,6,22,6
