"radios","LINK","comuna","fraccion","radio","CO_FRAC_RA","Hasta   0.50 personas por cuarto","0.51  -  0.99  personas por cuarto","1.00  -  1.49  personas por cuarto","1.50  -  1.99  personas por cuarto","2.00  -  3.00  personas por cuarto","Más de  3.00 personas por cuarto"
"AREA#020040105","020040105",4,1,5,"4_1_5",14,15,38,12,19,2
"AREA#020040106","020040106",4,1,6,"4_1_6",14,10,28,16,26,6
"AREA#020040107","020040107",4,1,7,"4_1_7",28,20,36,6,9,1
"AREA#020040108","020040108",4,1,8,"4_1_8",16,17,33,13,16,3
"AREA#020040109","020040109",4,1,9,"4_1_9",25,19,35,8,13,1
"AREA#020040110","020040110",4,1,10,"4_1_10",15,25,37,7,12,4
"AREA#020040111","020040111",4,1,11,"4_1_11",26,16,40,9,10,1
"AREA#020040112","020040112",4,1,12,"4_1_12",21,17,40,11,10,1
"AREA#020040113","020040113",4,1,13,"4_1_13",22,18,38,10,12,1
"AREA#020040114","020040114",4,1,14,"4_1_14",16,13,42,11,14,3
"AREA#020040201","020040201",4,2,1,"4_2_1",23,21,35,4,11,6
"AREA#020040202","020040202",4,2,2,"4_2_2",24,21,33,8,12,2
"AREA#020040203","020040203",4,2,3,"4_2_3",20,15,39,8,14,5
"AREA#020040204","020040204",4,2,4,"4_2_4",21,20,34,10,12,3
"AREA#020040205","020040205",4,2,5,"4_2_5",20,17,36,7,16,4
"AREA#020040206","020040206",4,2,6,"4_2_6",27,23,35,5,9,1
"AREA#020040207","020040207",4,2,7,"4_2_7",25,17,40,7,8,2
"AREA#020040208","020040208",4,2,8,"4_2_8",22,20,35,8,12,3
"AREA#020040209","020040209",4,2,9,"4_2_9",19,19,36,12,11,3
"AREA#020040210","020040210",4,2,10,"4_2_10",16,16,34,11,16,6
"AREA#020040301","020040301",4,3,1,"4_3_1",25,16,39,7,12,0
"AREA#020040302","020040302",4,3,2,"4_3_2",28,17,34,7,11,2
"AREA#020040303","020040303",4,3,3,"4_3_3",24,23,31,9,11,2
"AREA#020040304","020040304",4,3,4,"4_3_4",22,22,32,8,12,4
"AREA#020040305","020040305",4,3,5,"4_3_5",26,26,37,5,5,1
"AREA#020040306","020040306",4,3,6,"4_3_6",20,19,37,10,11,3
"AREA#020040307","020040307",4,3,7,"4_3_7",26,17,34,11,11,1
"AREA#020040308","020040308",4,3,8,"4_3_8",21,23,39,5,9,3
"AREA#020040309","020040309",4,3,9,"4_3_9",25,24,36,10,5,0
"AREA#020040310","020040310",4,3,10,"4_3_10",25,23,40,5,7,1
"AREA#020040311","020040311",4,3,11,"4_3_11",25,25,35,7,8,1
"AREA#020040312","020040312",4,3,12,"4_3_12",22,19,38,8,10,3
"AREA#020040313","020040313",4,3,13,"4_3_13",23,21,35,8,11,2
"AREA#020040401","020040401",4,4,1,"4_4_1",29,23,34,6,8,0
"AREA#020040402","020040402",4,4,2,"4_4_2",24,30,37,5,3,1
"AREA#020040403","020040403",4,4,3,"4_4_3",28,27,32,9,4,0
"AREA#020040404","020040404",4,4,4,"4_4_4",26,21,35,11,6,1
"AREA#020040405","020040405",4,4,5,"4_4_5",23,22,40,7,7,2
"AREA#020040406","020040406",4,4,6,"4_4_6",24,18,37,11,8,3
"AREA#020040407","020040407",4,4,7,"4_4_7",26,21,34,7,11,2
"AREA#020040408","020040408",4,4,8,"4_4_8",25,17,36,7,11,4
"AREA#020040409","020040409",4,4,9,"4_4_9",20,18,35,9,14,2
"AREA#020040410","020040410",4,4,10,"4_4_10",19,14,38,7,20,2
"AREA#020040411","020040411",4,4,11,"4_4_11",23,19,36,7,13,2
"AREA#020040501","020040501",4,5,1,"4_5_1",29,19,36,4,11,1
"AREA#020040502","020040502",4,5,2,"4_5_2",22,18,34,5,17,3
"AREA#020040503","020040503",4,5,3,"4_5_3",32,22,37,6,3,0
"AREA#020040504","020040504",4,5,4,"4_5_4",25,15,36,8,11,4
"AREA#020040505","020040505",4,5,5,"4_5_5",37,21,32,6,3,0
"AREA#020040506","020040506",4,5,6,"4_5_6",23,25,37,6,8,1
"AREA#020040507","020040507",4,5,7,"4_5_7",27,17,34,7,14,1
"AREA#020040508","020040508",4,5,8,"4_5_8",20,28,30,9,10,3
"AREA#020040509","020040509",4,5,9,"4_5_9",17,12,35,12,21,4
"AREA#020040510","020040510",4,5,10,"4_5_10",20,15,36,8,18,3
"AREA#020040511","020040511",4,5,11,"4_5_11",20,17,34,11,14,3
"AREA#020040601","020040601",4,6,1,"4_6_1",29,14,35,9,13,1
"AREA#020040602","020040602",4,6,2,"4_6_2",18,19,44,8,9,1
"AREA#020040603","020040603",4,6,3,"4_6_3",26,19,31,8,13,3
"AREA#020040604","020040604",4,6,4,"4_6_4",21,23,41,7,7,2
"AREA#020040605","020040605",4,6,5,"4_6_5",32,16,36,8,7,2
"AREA#020040606","020040606",4,6,6,"4_6_6",34,25,31,7,3,0
"AREA#020040607","020040607",4,6,7,"4_6_7",28,16,37,7,10,2
"AREA#020040608","020040608",4,6,8,"4_6_8",21,21,38,5,11,4
"AREA#020040609","020040609",4,6,9,"4_6_9",38,29,25,5,4,0
"AREA#020040610","020040610",4,6,10,"4_6_10",22,22,40,7,7,1
"AREA#020040611","020040611",4,6,11,"4_6_11",33,28,30,6,2,1
"AREA#020040701","020040701",4,7,1,"4_7_1",23,19,37,6,13,1
"AREA#020040702","020040702",4,7,2,"4_7_2",21,21,38,9,11,0
"AREA#020040703","020040703",4,7,3,"4_7_3",18,8,36,6,24,8
"AREA#020040704","020040704",4,7,4,"4_7_4",29,24,33,6,7,1
"AREA#020040705","020040705",4,7,5,"4_7_5",21,24,40,5,9,1
"AREA#020040706","020040706",4,7,6,"4_7_6",27,19,35,7,10,1
"AREA#020040707","020040707",4,7,7,"4_7_7",31,23,32,8,5,0
"AREA#020040708","020040708",4,7,8,"4_7_8",27,15,36,6,14,1
"AREA#020040709","020040709",4,7,9,"4_7_9",23,20,38,7,10,1
"AREA#020040710","020040710",4,7,10,"4_7_10",39,20,34,3,5,0
"AREA#020040711","020040711",4,7,11,"4_7_11",27,20,33,7,10,4
"AREA#020040712","020040712",4,7,12,"4_7_12",26,11,35,7,15,6
"AREA#020040801","020040801",4,8,1,"4_8_1",31,15,36,8,9,0
"AREA#020040802","020040802",4,8,2,"4_8_2",31,23,33,7,5,1
"AREA#020040803","020040803",4,8,3,"4_8_3",33,23,33,6,6,0
"AREA#020040804","020040804",4,8,4,"4_8_4",24,19,37,6,14,1
"AREA#020040805","020040805",4,8,5,"4_8_5",35,24,34,4,3,0
"AREA#020040806","020040806",4,8,6,"4_8_6",24,23,28,6,16,3
"AREA#020040807","020040807",4,8,7,"4_8_7",16,10,35,10,23,5
"AREA#020040808","020040808",4,8,8,"4_8_8",18,13,35,6,19,9
"AREA#020040809","020040809",4,8,9,"4_8_9",20,22,33,8,14,3
"AREA#020040810","020040810",4,8,10,"4_8_10",17,15,34,12,17,5
"AREA#020040811","020040811",4,8,11,"4_8_11",19,18,38,12,11,2
"AREA#020040901","020040901",4,9,1,"4_9_1",16,10,30,12,26,7
"AREA#020040902","020040902",4,9,2,"4_9_2",22,17,33,11,13,5
"AREA#020040903","020040903",4,9,3,"4_9_3",24,20,35,6,13,1
"AREA#020040904","020040904",4,9,4,"4_9_4",14,15,34,9,21,7
"AREA#020040905","020040905",4,9,5,"4_9_5",26,19,34,12,7,2
"AREA#020040906","020040906",4,9,6,"4_9_6",20,19,45,9,6,0
"AREA#020040907","020040907",4,9,7,"4_9_7",21,21,38,9,10,1
"AREA#020041001","020041001",4,10,1,"4_10_1",13,4,26,9,43,4
"AREA#020041002","020041002",4,10,2,"4_10_2",9,5,31,10,37,8
"AREA#020041003","020041003",4,10,3,"4_10_3",12,5,29,11,33,9
"AREA#020041004","020041004",4,10,4,"4_10_4",12,9,29,11,29,10
"AREA#020041005","020041005",4,10,5,"4_10_5",14,10,32,11,26,7
"AREA#020041006","020041006",4,10,6,"4_10_6",12,9,36,11,26,5
"AREA#020041007","020041007",4,10,7,"4_10_7",12,5,30,12,30,10
"AREA#020041008","020041008",4,10,8,"4_10_8",9,4,25,11,40,12
"AREA#020041009","020041009",4,10,9,"4_10_9",11,7,27,12,36,7
"AREA#020041101","020041101",4,11,1,"4_11_1",30,19,27,9,13,2
"AREA#020041102","020041102",4,11,2,"4_11_2",38,26,31,3,2,0
"AREA#020041103","020041103",4,11,3,"4_11_3",29,22,38,5,6,1
"AREA#020041104","020041104",4,11,4,"4_11_4",36,23,29,8,4,0
"AREA#020041105","020041105",4,11,5,"4_11_5",34,18,32,6,9,1
"AREA#020041106","020041106",4,11,6,"4_11_6",22,24,34,9,10,1
"AREA#020041107","020041107",4,11,7,"4_11_7",16,15,33,10,21,6
"AREA#020041108","020041108",4,11,8,"4_11_8",23,26,39,6,6,0
"AREA#020041109","020041109",4,11,9,"4_11_9",18,12,32,11,22,5
"AREA#020041201","020041201",4,12,1,"4_12_1",21,13,39,8,17,1
"AREA#020041202","020041202",4,12,2,"4_12_2",23,11,28,4,26,8
"AREA#020041203","020041203",4,12,3,"4_12_3",25,17,34,7,14,3
"AREA#020041204","020041204",4,12,4,"4_12_4",27,20,31,9,12,1
"AREA#020041205","020041205",4,12,5,"4_12_5",29,18,32,7,13,2
"AREA#020041206","020041206",4,12,6,"4_12_6",22,13,29,10,20,6
"AREA#020041207","020041207",4,12,7,"4_12_7",22,16,41,10,9,3
"AREA#020041208","020041208",4,12,8,"4_12_8",26,21,37,5,9,3
"AREA#020041209","020041209",4,12,9,"4_12_9",38,22,29,5,5,1
"AREA#020041210","020041210",4,12,10,"4_12_10",21,24,29,9,13,5
"AREA#020041211","020041211",4,12,11,"4_12_11",34,26,32,4,2,1
"AREA#020041212","020041212",4,12,12,"4_12_12",34,19,35,5,7,0
"AREA#020041301","020041301",4,13,1,"4_13_1",37,24,31,4,4,0
"AREA#020041302","020041302",4,13,2,"4_13_2",31,21,30,5,10,3
"AREA#020041303","020041303",4,13,3,"4_13_3",29,14,34,4,13,5
"AREA#020041304","020041304",4,13,4,"4_13_4",42,17,31,7,3,0
"AREA#020041305","020041305",4,13,5,"4_13_5",29,26,39,2,3,0
"AREA#020041306","020041306",4,13,6,"4_13_6",30,17,37,4,10,1
"AREA#020041307","020041307",4,13,7,"4_13_7",38,24,34,3,2,0
"AREA#020041308","020041308",4,13,8,"4_13_8",35,18,27,3,13,3
"AREA#020041309","020041309",4,13,9,"4_13_9",35,33,24,4,4,0
"AREA#020041310","020041310",4,13,10,"4_13_10",37,21,34,5,3,0
"AREA#020041311","020041311",4,13,11,"4_13_11",28,23,37,6,6,0
"AREA#020041401","020041401",4,14,1,"4_14_1",16,13,36,5,25,5
"AREA#020041402","020041402",4,14,2,"4_14_2",27,12,36,2,19,4
"AREA#020041403","020041403",4,14,3,"4_14_3",32,16,31,4,13,4
"AREA#020041404","020041404",4,14,4,"4_14_4",21,13,44,5,16,1
"AREA#020041405","020041405",4,14,5,"4_14_5",40,18,33,5,4,0
"AREA#020041406","020041406",4,14,6,"4_14_6",37,20,34,6,3,0
"AREA#020041407","020041407",4,14,7,"4_14_7",24,19,34,5,15,3
"AREA#020041408","020041408",4,14,8,"4_14_8",33,15,30,6,13,4
"AREA#020041409","020041409",4,14,9,"4_14_9",29,18,36,5,11,1
"AREA#020041501","020041501",4,15,1,"4_15_1",37,18,33,5,7,0
"AREA#020041502","020041502",4,15,2,"4_15_2",35,17,35,6,6,1
"AREA#020041503","020041503",4,15,3,"4_15_3",39,25,26,5,4,0
"AREA#020041504","020041504",4,15,4,"4_15_4",37,21,30,8,4,0
"AREA#020041505","020041505",4,15,5,"4_15_5",33,24,33,5,5,0
"AREA#020041506","020041506",4,15,6,"4_15_6",33,16,35,8,7,1
"AREA#020041507","020041507",4,15,7,"4_15_7",35,24,32,5,5,0
"AREA#020041508","020041508",4,15,8,"4_15_8",33,19,38,5,5,0
"AREA#020041509","020041509",4,15,9,"4_15_9",28,25,30,7,10,0
"AREA#020041510","020041510",4,15,10,"4_15_10",31,17,38,5,9,0
"AREA#020041601","020041601",4,16,1,"4_16_1",27,29,31,8,5,0
"AREA#020041602","020041602",4,16,2,"4_16_2",15,4,43,7,26,4
"AREA#020041603","020041603",4,16,3,"4_16_3",16,16,48,10,9,1
"AREA#020041604","020041604",4,16,4,"4_16_4",30,19,31,7,10,2
"AREA#020041605","020041605",4,16,5,"4_16_5",32,11,35,9,11,1
"AREA#020041606","020041606",4,16,6,"4_16_6",27,16,39,9,7,1
"AREA#020041607","020041607",4,16,7,"4_16_7",21,14,44,13,7,1
"AREA#020041608","020041608",4,16,8,"4_16_8",21,14,26,12,20,7
"AREA#020041609","020041609",4,16,9,"4_16_9",20,10,39,10,20,2
"AREA#020041610","020041610",4,16,10,"4_16_10",29,22,31,6,12,0
"AREA#020041701","020041701",4,17,1,"4_17_1",52,19,25,2,1,0
"AREA#020041702","020041702",4,17,2,"4_17_2",37,20,33,4,5,2
"AREA#020041703","020041703",4,17,3,"4_17_3",30,14,37,6,11,2
"AREA#020041704","020041704",4,17,4,"4_17_4",28,24,37,4,6,0
"AREA#020041705","020041705",4,17,5,"4_17_5",31,28,32,4,5,0
"AREA#020041706","020041706",4,17,6,"4_17_6",34,27,32,3,4,0
"AREA#020041707","020041707",4,17,7,"4_17_7",35,24,31,4,7,0
"AREA#020041708","020041708",4,17,8,"4_17_8",17,11,35,10,22,5
"AREA#020041709","020041709",4,17,9,"4_17_9",39,21,33,3,3,0
"AREA#020041710","020041710",4,17,10,"4_17_10",24,9,28,10,25,4
"AREA#020041801","020041801",4,18,1,"4_18_1",22,7,64,2,2,2
"AREA#020041901","020041901",4,19,1,"4_19_1",25,14,33,6,16,6
"AREA#020041902","020041902",4,19,2,"4_19_2",32,11,32,9,14,2
"AREA#020041903","020041903",4,19,3,"4_19_3",20,11,41,7,15,6
"AREA#020041904","020041904",4,19,4,"4_19_4",17,8,30,11,26,8
"AREA#020041905","020041905",4,19,5,"4_19_5",29,19,24,9,14,5
"AREA#020041906","020041906",4,19,6,"4_19_6",17,6,31,13,25,8
"AREA#020041907","020041907",4,19,7,"4_19_7",8,3,33,12,32,12
"AREA#020041908","020041908",4,19,8,"4_19_8",9,6,27,10,35,14
"AREA#020041909","020041909",4,19,9,"4_19_9",14,7,24,9,32,12
"AREA#020041910","020041910",4,19,10,"4_19_10",22,10,39,8,17,4
"AREA#020042001","020042001",4,20,1,"4_20_1",18,12,36,6,23,5
"AREA#020042002","020042002",4,20,2,"4_20_2",26,16,38,9,10,1
"AREA#020042003","020042003",4,20,3,"4_20_3",15,7,32,11,30,6
"AREA#020042004","020042004",4,20,4,"4_20_4",10,7,31,11,34,7
"AREA#020042005","020042005",4,20,5,"4_20_5",13,11,26,12,31,8
"AREA#020042006","020042006",4,20,6,"4_20_6",30,12,28,11,17,3
"AREA#020042007","020042007",4,20,7,"4_20_7",25,15,31,9,17,2
"AREA#020042008","020042008",4,20,8,"4_20_8",11,12,37,13,23,5
"AREA#020042009","020042009",4,20,9,"4_20_9",19,15,37,12,14,3
"AREA#020042010","020042010",4,20,10,"4_20_10",17,9,33,14,22,5
"AREA#020042011","020042011",4,20,11,"4_20_11",20,11,33,11,20,3
"AREA#020042012","020042012",4,20,12,"4_20_12",31,17,35,9,7,2
"AREA#020042101","020042101",4,21,1,"4_21_1",15,7,30,12,28,7
"AREA#020042102","020042102",4,21,2,"4_21_2",10,4,31,9,35,11
"AREA#020042103","020042103",4,21,3,"4_21_3",23,16,31,11,15,4
"AREA#020042104","020042104",4,21,4,"4_21_4",20,6,28,10,26,11
"AREA#020042105","020042105",4,21,5,"4_21_5",23,11,31,11,20,6
"AREA#020042106","020042106",4,21,6,"4_21_6",27,11,30,11,19,2
"AREA#020042107","020042107",4,21,7,"4_21_7",23,11,33,13,15,5
"AREA#020042108","020042108",4,21,8,"4_21_8",17,11,31,12,25,5
"AREA#020042109","020042109",4,21,9,"4_21_9",13,7,32,11,29,8
"AREA#020042110","020042110",4,21,10,"4_21_10",12,5,24,10,35,14
"AREA#020042111","020042111",4,21,11,"4_21_11",15,9,28,10,27,11
"AREA#020042112","020042112",4,21,12,"4_21_12",23,11,28,9,24,5
"AREA#020042201","020042201",4,22,1,"4_22_1",34,18,42,3,4,0
"AREA#020042202","020042202",4,22,2,"4_22_2",28,13,37,9,9,3
"AREA#020042203","020042203",4,22,3,"4_22_3",37,22,32,6,4,0
"AREA#020042204","020042204",4,22,4,"4_22_4",30,28,33,6,2,0
"AREA#020042205","020042205",4,22,5,"4_22_5",33,20,30,6,8,2
"AREA#020042206","020042206",4,22,6,"4_22_6",29,22,41,3,5,0
"AREA#020042207","020042207",4,22,7,"4_22_7",28,17,42,5,8,0
"AREA#020042208","020042208",4,22,8,"4_22_8",23,20,38,8,10,1
"AREA#020042209","020042209",4,22,9,"4_22_9",25,13,31,12,17,3
"AREA#020042210","020042210",4,22,10,"4_22_10",33,27,31,4,6,0
"AREA#020042211","020042211",4,22,11,"4_22_11",31,14,39,7,6,2
"AREA#020042212","020042212",4,22,12,"4_22_12",19,15,34,7,21,4
"AREA#020042301","020042301",4,23,1,"4_23_1",21,17,35,9,15,4
"AREA#020042302","020042302",4,23,2,"4_23_2",19,18,39,7,14,2
"AREA#020042303","020042303",4,23,3,"4_23_3",22,13,35,8,14,8
"AREA#020042304","020042304",4,23,4,"4_23_4",21,18,38,7,12,2
"AREA#020042305","020042305",4,23,5,"4_23_5",35,20,33,7,6,0
"AREA#020042306","020042306",4,23,6,"4_23_6",30,15,33,5,14,2
"AREA#020042307","020042307",4,23,7,"4_23_7",25,16,32,8,16,3
"AREA#020042308","020042308",4,23,8,"4_23_8",22,20,37,10,11,1
"AREA#020042309","020042309",4,23,9,"4_23_9",21,19,38,7,11,3
"AREA#020042310","020042310",4,23,10,"4_23_10",21,18,32,10,13,6
"AREA#020042311","020042311",4,23,11,"4_23_11",9,8,38,10,26,9
"AREA#020042312","020042312",4,23,12,"4_23_12",19,13,28,11,22,7
"AREA#020042401","020042401",4,24,1,"4_24_1",10,7,27,11,37,8
"AREA#020042402","020042402",4,24,2,"4_24_2",11,6,34,14,27,8
"AREA#020042403","020042403",4,24,3,"4_24_3",17,5,31,10,30,6
"AREA#020042404","020042404",4,24,4,"4_24_4",10,9,28,13,32,9
"AREA#020042405","020042405",4,24,5,"4_24_5",12,6,27,10,38,8
"AREA#020042406","020042406",4,24,6,"4_24_6",8,7,30,12,34,8
"AREA#020042501","020042501",4,25,1,"4_25_1",6,4,22,10,43,15
"AREA#020042502","020042502",4,25,2,"4_25_2",11,7,30,16,28,8
"AREA#020042503","020042503",4,25,3,"4_25_3",10,7,31,9,32,10
"AREA#020042504","020042504",4,25,4,"4_25_4",5,3,25,12,40,15
"AREA#020042601","020042601",4,26,1,"4_26_1",8,8,30,16,29,8
"AREA#020042602","020042602",4,26,2,"4_26_2",11,9,37,21,20,3
"AREA#020042603","020042603",4,26,3,"4_26_3",10,7,27,15,33,8
"AREA#020050101","020050101",5,1,1,"5_1_1",36,13,40,5,6,1
"AREA#020050102","020050102",5,1,2,"5_1_2",34,20,36,3,6,0
"AREA#020050103","020050103",5,1,3,"5_1_3",40,9,31,5,11,4
"AREA#020050104","020050104",5,1,4,"5_1_4",36,16,32,6,10,1
"AREA#020050105","020050105",5,1,5,"5_1_5",34,24,33,3,5,0
"AREA#020050106","020050106",5,1,6,"5_1_6",25,8,45,2,17,3
"AREA#020050107","020050107",5,1,7,"5_1_7",32,15,36,7,9,1
"AREA#020050108","020050108",5,1,8,"5_1_8",33,22,33,7,5,1
"AREA#020050109","020050109",5,1,9,"5_1_9",41,13,34,7,6,0
"AREA#020050110","020050110",5,1,10,"5_1_10",33,18,37,6,6,1
"AREA#020050201","020050201",5,2,1,"5_2_1",38,22,28,4,8,0
"AREA#020050202","020050202",5,2,2,"5_2_2",33,15,35,6,10,1
"AREA#020050203","020050203",5,2,3,"5_2_3",40,17,33,6,4,0
"AREA#020050204","020050204",5,2,4,"5_2_4",39,16,34,3,7,1
"AREA#020050205","020050205",5,2,5,"5_2_5",43,13,36,4,4,0
"AREA#020050206","020050206",5,2,6,"5_2_6",27,15,40,4,10,4
"AREA#020050207","020050207",5,2,7,"5_2_7",18,12,49,4,16,1
"AREA#020050208","020050208",5,2,8,"5_2_8",33,22,36,4,5,0
"AREA#020050209","020050209",5,2,9,"5_2_9",27,20,30,5,15,4
"AREA#020050210","020050210",5,2,10,"5_2_10",33,13,35,5,11,3
"AREA#020050211","020050211",5,2,11,"5_2_11",27,17,38,6,10,2
"AREA#020050301","020050301",5,3,1,"5_3_1",31,17,36,4,11,1
"AREA#020050302","020050302",5,3,2,"5_3_2",24,13,39,6,15,3
"AREA#020050303","020050303",5,3,3,"5_3_3",21,7,48,5,17,2
"AREA#020050304","020050304",5,3,4,"5_3_4",29,17,28,6,15,4
"AREA#020050305","020050305",5,3,5,"5_3_5",41,16,29,7,6,2
"AREA#020050306","020050306",5,3,6,"5_3_6",38,14,38,3,6,1
"AREA#020050307","020050307",5,3,7,"5_3_7",35,16,37,4,6,1
"AREA#020050308","020050308",5,3,8,"5_3_8",43,17,33,4,3,0
"AREA#020050309","020050309",5,3,9,"5_3_9",32,10,39,5,14,0
"AREA#020050310","020050310",5,3,10,"5_3_10",36,18,31,2,12,1
"AREA#020050311","020050311",5,3,11,"5_3_11",31,9,35,7,17,2
"AREA#020050401","020050401",5,4,1,"5_4_1",35,20,36,5,4,0
"AREA#020050402","020050402",5,4,2,"5_4_2",40,18,29,5,6,1
"AREA#020050403","020050403",5,4,3,"5_4_3",32,17,35,5,11,0
"AREA#020050404","020050404",5,4,4,"5_4_4",37,13,33,6,11,1
"AREA#020050405","020050405",5,4,5,"5_4_5",32,17,39,4,7,0
"AREA#020050406","020050406",5,4,6,"5_4_6",42,13,33,6,6,1
"AREA#020050407","020050407",5,4,7,"5_4_7",34,21,32,4,8,1
"AREA#020050408","020050408",5,4,8,"5_4_8",43,21,29,5,3,0
"AREA#020050409","020050409",5,4,9,"5_4_9",35,14,31,6,10,4
"AREA#020050501","020050501",5,5,1,"5_5_1",41,18,30,5,6,1
"AREA#020050502","020050502",5,5,2,"5_5_2",40,19,29,6,5,0
"AREA#020050503","020050503",5,5,3,"5_5_3",37,15,37,5,6,0
"AREA#020050504","020050504",5,5,4,"5_5_4",28,16,38,9,8,1
"AREA#020050505","020050505",5,5,5,"5_5_5",40,19,30,4,7,0
"AREA#020050506","020050506",5,5,6,"5_5_6",38,16,33,4,8,0
"AREA#020050507","020050507",5,5,7,"5_5_7",32,10,38,7,12,1
"AREA#020050508","020050508",5,5,8,"5_5_8",36,18,34,3,9,1
"AREA#020050601","020050601",5,6,1,"5_6_1",37,31,24,4,4,0
"AREA#020050602","020050602",5,6,2,"5_6_2",46,22,25,3,3,0
"AREA#020050603","020050603",5,6,3,"5_6_3",40,19,33,3,4,1
"AREA#020050604","020050604",5,6,4,"5_6_4",40,25,27,4,3,1
"AREA#020050605","020050605",5,6,5,"5_6_5",41,20,28,6,5,1
"AREA#020050606","020050606",5,6,6,"5_6_6",36,20,32,5,7,0
"AREA#020050607","020050607",5,6,7,"5_6_7",30,16,39,3,10,3
"AREA#020050608","020050608",5,6,8,"5_6_8",32,22,35,6,5,0
"AREA#020050701","020050701",5,7,1,"5_7_1",40,18,33,3,5,1
"AREA#020050702","020050702",5,7,2,"5_7_2",31,9,32,11,15,3
"AREA#020050703","020050703",5,7,3,"5_7_3",32,23,36,5,5,0
"AREA#020050704","020050704",5,7,4,"5_7_4",37,21,29,6,6,1
"AREA#020050705","020050705",5,7,5,"5_7_5",37,10,35,9,8,1
"AREA#020050706","020050706",5,7,6,"5_7_6",27,11,44,5,11,1
"AREA#020050707","020050707",5,7,7,"5_7_7",28,8,46,8,8,3
"AREA#020050708","020050708",5,7,8,"5_7_8",38,15,29,5,11,2
"AREA#020050801","020050801",5,8,1,"5_8_1",33,18,35,5,8,1
"AREA#020050802","020050802",5,8,2,"5_8_2",40,20,31,4,4,0
"AREA#020050803","020050803",5,8,3,"5_8_3",32,27,34,3,3,1
"AREA#020050804","020050804",5,8,4,"5_8_4",41,20,31,3,5,1
"AREA#020050805","020050805",5,8,5,"5_8_5",31,20,35,6,7,1
"AREA#020050806","020050806",5,8,6,"5_8_6",40,15,35,6,4,0
"AREA#020050807","020050807",5,8,7,"5_8_7",34,16,35,5,10,0
"AREA#020050808","020050808",5,8,8,"5_8_8",29,16,39,6,9,1
"AREA#020050809","020050809",5,8,9,"5_8_9",38,21,31,6,3,0
"AREA#020050901","020050901",5,9,1,"5_9_1",44,21,28,4,2,0
"AREA#020050902","020050902",5,9,2,"5_9_2",37,17,36,5,4,1
"AREA#020050903","020050903",5,9,3,"5_9_3",38,17,29,7,8,1
"AREA#020050904","020050904",5,9,4,"5_9_4",37,24,31,4,4,0
"AREA#020050905","020050905",5,9,5,"5_9_5",28,22,39,5,7,0
"AREA#020050906","020050906",5,9,6,"5_9_6",37,19,30,6,7,1
"AREA#020050907","020050907",5,9,7,"5_9_7",30,12,43,6,8,1
"AREA#020050908","020050908",5,9,8,"5_9_8",36,17,38,4,6,0
"AREA#020050909","020050909",5,9,9,"5_9_9",28,17,39,7,9,0
"AREA#020050910","020050910",5,9,10,"5_9_10",38,18,28,6,9,1
"AREA#020051001","020051001",5,10,1,"5_10_1",36,19,35,5,4,0
"AREA#020051002","020051002",5,10,2,"5_10_2",34,17,37,6,6,0
"AREA#020051003","020051003",5,10,3,"5_10_3",32,24,29,1,10,4
"AREA#020051004","020051004",5,10,4,"5_10_4",32,21,37,4,6,0
"AREA#020051005","020051005",5,10,5,"5_10_5",38,11,35,7,9,0
"AREA#020051006","020051006",5,10,6,"5_10_6",33,19,29,6,11,1
"AREA#020051007","020051007",5,10,7,"5_10_7",39,21,30,4,6,0
"AREA#020051008","020051008",5,10,8,"5_10_8",37,17,34,4,9,1
"AREA#020051009","020051009",5,10,9,"5_10_9",40,17,31,3,8,1
"AREA#020051010","020051010",5,10,10,"5_10_10",30,17,42,4,7,0
"AREA#020051101","020051101",5,11,1,"5_11_1",35,15,35,7,8,1
"AREA#020051102","020051102",5,11,2,"5_11_2",34,17,34,6,8,1
"AREA#020051103","020051103",5,11,3,"5_11_3",32,22,37,5,3,0
"AREA#020051104","020051104",5,11,4,"5_11_4",34,17,37,5,7,1
"AREA#020051105","020051105",5,11,5,"5_11_5",28,19,39,4,9,0
"AREA#020051106","020051106",5,11,6,"5_11_6",26,20,38,4,11,1
"AREA#020051107","020051107",5,11,7,"5_11_7",32,19,35,6,7,1
"AREA#020051108","020051108",5,11,8,"5_11_8",36,11,36,6,8,2
"AREA#020051109","020051109",5,11,9,"5_11_9",26,16,37,5,13,3
"AREA#020051110","020051110",5,11,10,"5_11_10",33,28,30,4,4,1
"AREA#020051201","020051201",5,12,1,"5_12_1",29,16,38,3,13,2
"AREA#020051202","020051202",5,12,2,"5_12_2",41,20,30,5,4,0
"AREA#020051203","020051203",5,12,3,"5_12_3",35,17,37,5,5,1
"AREA#020051204","020051204",5,12,4,"5_12_4",44,18,25,7,5,1
"AREA#020051205","020051205",5,12,5,"5_12_5",45,18,29,4,4,1
"AREA#020051206","020051206",5,12,6,"5_12_6",41,15,32,5,7,0
"AREA#020051207","020051207",5,12,7,"5_12_7",33,20,29,4,10,4
"AREA#020051301","020051301",5,13,1,"5_13_1",41,27,25,4,3,0
"AREA#020051302","020051302",5,13,2,"5_13_2",38,17,29,7,9,1
"AREA#020051303","020051303",5,13,3,"5_13_3",36,24,34,3,3,0
"AREA#020051304","020051304",5,13,4,"5_13_4",33,14,39,4,9,2
"AREA#020051305","020051305",5,13,5,"5_13_5",35,17,33,7,7,2
