"areas","LINK","comuna","fraccion","radio","CO_FRAC_RA","cantidad","capeco"
"AREA#020041001","020041001",4,10,1,"4_10_1",23,4.26
"AREA#020041002","020041002",4,10,2,"4_10_2",661,4.49
"AREA#020041003","020041003",4,10,3,"4_10_3",507,3.96
"AREA#020041004","020041004",4,10,4,"4_10_4",124,3.57
"AREA#020041005","020041005",4,10,5,"4_10_5",519,4.74
"AREA#020041006","020041006",4,10,6,"4_10_6",307,4.05
"AREA#020041007","020041007",4,10,7,"4_10_7",273,3.81
"AREA#020041008","020041008",4,10,8,"4_10_8",492,3.4
"AREA#020041009","020041009",4,10,9,"4_10_9",624,3.66
"AREA#020041101","020041101",4,11,1,"4_11_1",293,6.79
"AREA#020041102","020041102",4,11,2,"4_11_2",327,7.92
"AREA#020041103","020041103",4,11,3,"4_11_3",282,7.35
"AREA#020041104","020041104",4,11,4,"4_11_4",250,7.9
"AREA#020041105","020041105",4,11,5,"4_11_5",186,7.22
"AREA#020041106","020041106",4,11,6,"4_11_6",321,6.21
"AREA#020041107","020041107",4,11,7,"4_11_7",328,5.28
"AREA#020041108","020041108",4,11,8,"4_11_8",314,7.54
"AREA#020041109","020041109",4,11,9,"4_11_9",269,4.82
"AREA#020041201","020041201",4,12,1,"4_12_1",230,7.11
"AREA#020041202","020041202",4,12,2,"4_12_2",216,6.04
"AREA#020041203","020041203",4,12,3,"4_12_3",303,8.24
"AREA#020041204","020041204",4,12,4,"4_12_4",371,7.15
"AREA#020041205","020041205",4,12,5,"4_12_5",231,7.62
"AREA#020041206","020041206",4,12,6,"4_12_6",250,5.98
"AREA#020041207","020041207",4,12,7,"4_12_7",157,7.02
"AREA#020041208","020041208",4,12,8,"4_12_8",184,8.65
"AREA#020041209","020041209",4,12,9,"4_12_9",312,8.98
"AREA#020041210","020041210",4,12,10,"4_12_10",284,6.37
"AREA#020041211","020041211",4,12,11,"4_12_11",260,9.57
"AREA#020041212","020041212",4,12,12,"4_12_12",224,8.71
"AREA#020041301","020041301",4,13,1,"4_13_1",357,10.71
"AREA#020041302","020041302",4,13,2,"4_13_2",240,9.26
"AREA#020041303","020041303",4,13,3,"4_13_3",253,9.33
"AREA#020041304","020041304",4,13,4,"4_13_4",227,9.99
"AREA#020041305","020041305",4,13,5,"4_13_5",391,9.43
"AREA#020041306","020041306",4,13,6,"4_13_6",205,7.39
"AREA#020041307","020041307",4,13,7,"4_13_7",400,10.3
"AREA#020041308","020041308",4,13,8,"4_13_8",174,9.46
"AREA#020041309","020041309",4,13,9,"4_13_9",170,9.46
"AREA#020041310","020041310",4,13,10,"4_13_10",202,9.3
"AREA#020041311","020041311",4,13,11,"4_13_11",448,8.75
"AREA#020041401","020041401",4,14,1,"4_14_1",273,7.66
"AREA#020041402","020041402",4,14,2,"4_14_2",259,8.17
"AREA#020041403","020041403",4,14,3,"4_14_3",277,8.97
"AREA#020041404","020041404",4,14,4,"4_14_4",495,9.49
"AREA#020041405","020041405",4,14,5,"4_14_5",302,9.14
"AREA#020041406","020041406",4,14,6,"4_14_6",208,9.29
"AREA#020041407","020041407",4,14,7,"4_14_7",289,7.95
"AREA#020041408","020041408",4,14,8,"4_14_8",410,8.64
"AREA#020041409","020041409",4,14,9,"4_14_9",262,9.04
"AREA#020041501","020041501",4,15,1,"4_15_1",259,8.22
"AREA#020041502","020041502",4,15,2,"4_15_2",624,9.2
"AREA#020041503","020041503",4,15,3,"4_15_3",483,9.72
"AREA#020041504","020041504",4,15,4,"4_15_4",297,9.21
"AREA#020041505","020041505",4,15,5,"4_15_5",219,8.65
"AREA#020041506","020041506",4,15,6,"4_15_6",240,8.28
"AREA#020041507","020041507",4,15,7,"4_15_7",274,8.86
"AREA#020041508","020041508",4,15,8,"4_15_8",270,9.13
"AREA#020041509","020041509",4,15,9,"4_15_9",254,8.44
"AREA#020041510","020041510",4,15,10,"4_15_10",188,8.38
"AREA#020041601","020041601",4,16,1,"4_16_1",259,8.11
"AREA#020041602","020041602",4,16,2,"4_16_2",930,9
"AREA#020041603","020041603",4,16,3,"4_16_3",438,7.14
"AREA#020041604","020041604",4,16,4,"4_16_4",267,7.58
"AREA#020041605","020041605",4,16,5,"4_16_5",412,8.2
"AREA#020041606","020041606",4,16,6,"4_16_6",248,7.48
"AREA#020041607","020041607",4,16,7,"4_16_7",156,7.28
"AREA#020041608","020041608",4,16,8,"4_16_8",219,6.5
"AREA#020041609","020041609",4,16,9,"4_16_9",431,7.51
"AREA#020041610","020041610",4,16,10,"4_16_10",280,6.97
"AREA#020041701","020041701",4,17,1,"4_17_1",221,9.07
"AREA#020041702","020041702",4,17,2,"4_17_2",240,8.65
"AREA#020041703","020041703",4,17,3,"4_17_3",218,7.6
"AREA#020041704","020041704",4,17,4,"4_17_4",296,8.71
"AREA#020041705","020041705",4,17,5,"4_17_5",328,8.33
"AREA#020041706","020041706",4,17,6,"4_17_6",280,8.52
"AREA#020041707","020041707",4,17,7,"4_17_7",255,8.93
"AREA#020041708","020041708",4,17,8,"4_17_8",358,7.28
"AREA#020041709","020041709",4,17,9,"4_17_9",337,8.55
"AREA#020041710","020041710",4,17,10,"4_17_10",280,6.23
"AREA#020041801","020041801",4,18,1,"4_18_1",46,9.5
"AREA#020041901","020041901",4,19,1,"4_19_1",255,6.69
"AREA#020041902","020041902",4,19,2,"4_19_2",259,6.92
"AREA#020041903","020041903",4,19,3,"4_19_3",323,6.71
"AREA#020041904","020041904",4,19,4,"4_19_4",375,5.64
"AREA#020041905","020041905",4,19,5,"4_19_5",287,6.7
"AREA#020041906","020041906",4,19,6,"4_19_6",363,5.67
"AREA#020041907","020041907",4,19,7,"4_19_7",288,4.96
"AREA#020041908","020041908",4,19,8,"4_19_8",460,4.66
"AREA#020041909","020041909",4,19,9,"4_19_9",339,4.54
"AREA#020041910","020041910",4,19,10,"4_19_10",263,6.43
"AREA#020042001","020042001",4,20,1,"4_20_1",324,6.56
"AREA#020042002","020042002",4,20,2,"4_20_2",257,6.83
"AREA#020042003","020042003",4,20,3,"4_20_3",281,5.52
"AREA#020042004","020042004",4,20,4,"4_20_4",221,4.66
"AREA#020042005","020042005",4,20,5,"4_20_5",211,5.76
"AREA#020042006","020042006",4,20,6,"4_20_6",305,6.32
"AREA#020042007","020042007",4,20,7,"4_20_7",290,6.54
"AREA#020042008","020042008",4,20,8,"4_20_8",243,5.77
"AREA#020042009","020042009",4,20,9,"4_20_9",293,6.13
"AREA#020042010","020042010",4,20,10,"4_20_10",364,5.87
"AREA#020042011","020042011",4,20,11,"4_20_11",323,6.77
"AREA#020042012","020042012",4,20,12,"4_20_12",471,6.88
"AREA#020042101","020042101",4,21,1,"4_21_1",245,5.82
"AREA#020042102","020042102",4,21,2,"4_21_2",263,4.91
"AREA#020042103","020042103",4,21,3,"4_21_3",207,6.57
"AREA#020042104","020042104",4,21,4,"4_21_4",249,5.39
"AREA#020042105","020042105",4,21,5,"4_21_5",238,5.71
"AREA#020042106","020042106",4,21,6,"4_21_6",270,6.37
"AREA#020042107","020042107",4,21,7,"4_21_7",275,6.59
"AREA#020042108","020042108",4,21,8,"4_21_8",294,4.82
"AREA#020042109","020042109",4,21,9,"4_21_9",253,5.23
"AREA#020042110","020042110",4,21,10,"4_21_10",235,4.7
"AREA#020042111","020042111",4,21,11,"4_21_11",281,5.61
"AREA#020042112","020042112",4,21,12,"4_21_12",190,6.46
"AREA#020042201","020042201",4,22,1,"4_22_1",257,8.72
"AREA#020042202","020042202",4,22,2,"4_22_2",297,8.36
"AREA#020042203","020042203",4,22,3,"4_22_3",353,8.87
"AREA#020042204","020042204",4,22,4,"4_22_4",495,8.43
"AREA#020042205","020042205",4,22,5,"4_22_5",284,8.06
"AREA#020042206","020042206",4,22,6,"4_22_6",255,9.77
"AREA#020042207","020042207",4,22,7,"4_22_7",402,9
"AREA#020042208","020042208",4,22,8,"4_22_8",363,7.79
"AREA#020042209","020042209",4,22,9,"4_22_9",259,6.6
"AREA#020042210","020042210",4,22,10,"4_22_10",229,7.95
"AREA#020042211","020042211",4,22,11,"4_22_11",290,7.97
"AREA#020042212","020042212",4,22,12,"4_22_12",218,6.83
"AREA#020042301","020042301",4,23,1,"4_23_1",272,6.2
"AREA#020042302","020042302",4,23,2,"4_23_2",289,6.67
"AREA#020042303","020042303",4,23,3,"4_23_3",258,6.69
"AREA#020042304","020042304",4,23,4,"4_23_4",265,6.54
"AREA#020042305","020042305",4,23,5,"4_23_5",227,8.03
"AREA#020042306","020042306",4,23,6,"4_23_6",305,8.11
"AREA#020042307","020042307",4,23,7,"4_23_7",234,7.04
"AREA#020042308","020042308",4,23,8,"4_23_8",289,6.75
"AREA#020042309","020042309",4,23,9,"4_23_9",151,6.33
"AREA#020042310","020042310",4,23,10,"4_23_10",259,6.63
"AREA#020042311","020042311",4,23,11,"4_23_11",206,5.91
"AREA#020042312","020042312",4,23,12,"4_23_12",233,5.38
"AREA#020042401","020042401",4,24,1,"4_24_1",415,3.71
"AREA#020042402","020042402",4,24,2,"4_24_2",542,3.63
"AREA#020042403","020042403",4,24,3,"4_24_3",373,3.47
"AREA#020042404","020042404",4,24,4,"4_24_4",535,3.71
"AREA#020042405","020042405",4,24,5,"4_24_5",407,3.41
"AREA#020042406","020042406",4,24,6,"4_24_6",378,3.81
"AREA#020042501","020042501",4,25,1,"4_25_1",688,3.86
"AREA#020042502","020042502",4,25,2,"4_25_2",624,4.02
"AREA#020042503","020042503",4,25,3,"4_25_3",1093,4.22
"AREA#020042504","020042504",4,25,4,"4_25_4",587,3.75
"AREA#020042601","020042601",4,26,1,"4_26_1",261,2.98
"AREA#020042602","020042602",4,26,2,"4_26_2",283,3.49
"AREA#020042603","020042603",4,26,3,"4_26_3",340,3.48
"AREA#020050101","020050101",5,1,1,"5_1_1",255,10.16
"AREA#020050102","020050102",5,1,2,"5_1_2",411,10.35
"AREA#020050103","020050103",5,1,3,"5_1_3",362,9.42
"AREA#020050104","020050104",5,1,4,"5_1_4",314,10.28
"AREA#020050105","020050105",5,1,5,"5_1_5",474,9.89
"AREA#020050106","020050106",5,1,6,"5_1_6",211,9.65
"AREA#020050107","020050107",5,1,7,"5_1_7",302,9.52
"AREA#020050108","020050108",5,1,8,"5_1_8",324,9.94
"AREA#020050109","020050109",5,1,9,"5_1_9",349,9.65
"AREA#020050110","020050110",5,1,10,"5_1_10",313,9.19
"AREA#020050201","020050201",5,2,1,"5_2_1",343,10.02
"AREA#020050202","020050202",5,2,2,"5_2_2",271,8.99
"AREA#020050203","020050203",5,2,3,"5_2_3",328,9.79
"AREA#020050204","020050204",5,2,4,"5_2_4",461,10.25
"AREA#020050205","020050205",5,2,5,"5_2_5",223,10.09
"AREA#020050206","020050206",5,2,6,"5_2_6",258,8.84
"AREA#020050207","020050207",5,2,7,"5_2_7",247,7.82
"AREA#020050208","020050208",5,2,8,"5_2_8",433,10.41
"AREA#020050209","020050209",5,2,9,"5_2_9",339,8.93
"AREA#020050210","020050210",5,2,10,"5_2_10",301,8.38
"AREA#020050211","020050211",5,2,11,"5_2_11",394,9.69
"AREA#020050301","020050301",5,3,1,"5_3_1",322,9.13
"AREA#020050302","020050302",5,3,2,"5_3_2",508,9.51
"AREA#020050303","020050303",5,3,3,"5_3_3",177,7.92
"AREA#020050304","020050304",5,3,4,"5_3_4",236,9.21
"AREA#020050305","020050305",5,3,5,"5_3_5",338,9.62
"AREA#020050306","020050306",5,3,6,"5_3_6",305,9.91
"AREA#020050307","020050307",5,3,7,"5_3_7",297,9.3
"AREA#020050308","020050308",5,3,8,"5_3_8",164,10.54
"AREA#020050309","020050309",5,3,9,"5_3_9",309,9.84
"AREA#020050310","020050310",5,3,10,"5_3_10",241,9.49
"AREA#020050311","020050311",5,3,11,"5_3_11",386,9.25
"AREA#020050401","020050401",5,4,1,"5_4_1",424,9.88
"AREA#020050402","020050402",5,4,2,"5_4_2",347,10.14
"AREA#020050403","020050403",5,4,3,"5_4_3",320,9.91
"AREA#020050404","020050404",5,4,4,"5_4_4",342,10.25
"AREA#020050405","020050405",5,4,5,"5_4_5",332,9.67
"AREA#020050406","020050406",5,4,6,"5_4_6",504,10.2
"AREA#020050407","020050407",5,4,7,"5_4_7",253,9.43
"AREA#020050408","020050408",5,4,8,"5_4_8",516,9.6
"AREA#020050409","020050409",5,4,9,"5_4_9",338,9.11
"AREA#020050501","020050501",5,5,1,"5_5_1",348,9.54
"AREA#020050502","020050502",5,5,2,"5_5_2",593,9.9
"AREA#020050503","020050503",5,5,3,"5_5_3",372,10.32
"AREA#020050504","020050504",5,5,4,"5_5_4",289,9.54
"AREA#020050505","020050505",5,5,5,"5_5_5",244,10.02
"AREA#020050506","020050506",5,5,6,"5_5_6",316,10.12
"AREA#020050507","020050507",5,5,7,"5_5_7",423,9.49
"AREA#020050508","020050508",5,5,8,"5_5_8",324,9.58
"AREA#020050601","020050601",5,6,1,"5_6_1",304,10.48
"AREA#020050602","020050602",5,6,2,"5_6_2",437,9.83
"AREA#020050603","020050603",5,6,3,"5_6_3",438,10.11
"AREA#020050604","020050604",5,6,4,"5_6_4",660,10.15
"AREA#020050605","020050605",5,6,5,"5_6_5",558,10.15
"AREA#020050606","020050606",5,6,6,"5_6_6",407,9.5
"AREA#020050607","020050607",5,6,7,"5_6_7",418,9.52
"AREA#020050608","020050608",5,6,8,"5_6_8",385,10.09
"AREA#020050701","020050701",5,7,1,"5_7_1",531,9.77
"AREA#020050702","020050702",5,7,2,"5_7_2",222,9.16
"AREA#020050703","020050703",5,7,3,"5_7_3",276,9.71
"AREA#020050704","020050704",5,7,4,"5_7_4",608,9.54
"AREA#020050705","020050705",5,7,5,"5_7_5",620,9.21
"AREA#020050706","020050706",5,7,6,"5_7_6",302,9.06
"AREA#020050707","020050707",5,7,7,"5_7_7",198,9.87
"AREA#020050708","020050708",5,7,8,"5_7_8",396,9.17
"AREA#020050801","020050801",5,8,1,"5_8_1",547,10.12
"AREA#020050802","020050802",5,8,2,"5_8_2",320,9.75
"AREA#020050803","020050803",5,8,3,"5_8_3",504,10.08
"AREA#020050804","020050804",5,8,4,"5_8_4",457,9.7
"AREA#020050805","020050805",5,8,5,"5_8_5",175,9.73
"AREA#020050806","020050806",5,8,6,"5_8_6",396,9.62
"AREA#020050807","020050807",5,8,7,"5_8_7",400,9.97
"AREA#020050808","020050808",5,8,8,"5_8_8",354,9.5
"AREA#020050809","020050809",5,8,9,"5_8_9",334,9.6
"AREA#020050901","020050901",5,9,1,"5_9_1",473,9.53
"AREA#020050902","020050902",5,9,2,"5_9_2",287,9.86
"AREA#020050903","020050903",5,9,3,"5_9_3",268,9.96
"AREA#020050904","020050904",5,9,4,"5_9_4",232,9.57
"AREA#020050905","020050905",5,9,5,"5_9_5",260,9.81
"AREA#020050906","020050906",5,9,6,"5_9_6",245,9.54
"AREA#020050907","020050907",5,9,7,"5_9_7",220,10.12
"AREA#020050908","020050908",5,9,8,"5_9_8",454,9.47
"AREA#020050909","020050909",5,9,9,"5_9_9",438,9.83
"AREA#020050910","020050910",5,9,10,"5_9_10",341,8.82
"AREA#020051001","020051001",5,10,1,"5_10_1",538,10.03
"AREA#020051002","020051002",5,10,2,"5_10_2",548,9.99
"AREA#020051003","020051003",5,10,3,"5_10_3",165,9.02
"AREA#020051004","020051004",5,10,4,"5_10_4",254,9.51
"AREA#020051005","020051005",5,10,5,"5_10_5",270,9.31
"AREA#020051006","020051006",5,10,6,"5_10_6",317,9.14
"AREA#020051007","020051007",5,10,7,"5_10_7",548,9.43
"AREA#020051008","020051008",5,10,8,"5_10_8",310,9.52
"AREA#020051009","020051009",5,10,9,"5_10_9",345,9.7
"AREA#020051010","020051010",5,10,10,"5_10_10",256,9.65
"AREA#020051101","020051101",5,11,1,"5_11_1",536,9.9
"AREA#020051102","020051102",5,11,2,"5_11_2",389,10.17
"AREA#020051103","020051103",5,11,3,"5_11_3",281,9.93
"AREA#020051104","020051104",5,11,4,"5_11_4",331,9.6
"AREA#020051105","020051105",5,11,5,"5_11_5",322,9.9
"AREA#020051106","020051106",5,11,6,"5_11_6",317,9.79
"AREA#020051107","020051107",5,11,7,"5_11_7",470,9.34
"AREA#020051108","020051108",5,11,8,"5_11_8",322,9.56
"AREA#020051109","020051109",5,11,9,"5_11_9",459,9.32
"AREA#020051110","020051110",5,11,10,"5_11_10",355,9.85
"AREA#020051201","020051201",5,12,1,"5_12_1",293,9.23
"AREA#020051202","020051202",5,12,2,"5_12_2",840,9.74
"AREA#020051203","020051203",5,12,3,"5_12_3",428,10.55
"AREA#020051204","020051204",5,12,4,"5_12_4",328,9.42
"AREA#020051205","020051205",5,12,5,"5_12_5",199,9.76
"AREA#020051206","020051206",5,12,6,"5_12_6",770,10.42
"AREA#020051207","020051207",5,12,7,"5_12_7",340,9.35
"AREA#020051301","020051301",5,13,1,"5_13_1",400,10.07
"AREA#020051302","020051302",5,13,2,"5_13_2",323,9.96
"AREA#020051303","020051303",5,13,3,"5_13_3",365,10.44
"AREA#020051304","020051304",5,13,4,"5_13_4",331,9.99
"AREA#020051305","020051305",5,13,5,"5_13_5",333,8.79
"AREA#020051306","020051306",5,13,6,"5_13_6",377,10.73
"AREA#020051307","020051307",5,13,7,"5_13_7",324,9.91
"AREA#020051308","020051308",5,13,8,"5_13_8",421,10.38
"AREA#020051309","020051309",5,13,9,"5_13_9",424,10.75
"AREA#020051401","020051401",5,14,1,"5_14_1",275,10.37
"AREA#020051402","020051402",5,14,2,"5_14_2",348,9.51
"AREA#020051403","020051403",5,14,3,"5_14_3",540,8.74
"AREA#020051404","020051404",5,14,4,"5_14_4",421,9.68
"AREA#020051405","020051405",5,14,5,"5_14_5",787,9.78
"AREA#020051406","020051406",5,14,6,"5_14_6",541,9.69
"AREA#020051407","020051407",5,14,7,"5_14_7",173,8.99
"AREA#020051408","020051408",5,14,8,"5_14_8",275,10.03
"AREA#020051409","020051409",5,14,9,"5_14_9",426,9.02
"AREA#020051501","020051501",5,15,1,"5_15_1",521,9.46
"AREA#020051502","020051502",5,15,2,"5_15_2",530,9.69
"AREA#020051503","020051503",5,15,3,"5_15_3",267,8.62
"AREA#020051504","020051504",5,15,4,"5_15_4",569,9.69
"AREA#020051505","020051505",5,15,5,"5_15_5",455,9.69
"AREA#020051506","020051506",5,15,6,"5_15_6",332,9.37
"AREA#020051507","020051507",5,15,7,"5_15_7",314,8.98
"AREA#020051508","020051508",5,15,8,"5_15_8",332,8.35
"AREA#020051509","020051509",5,15,9,"5_15_9",169,7.47
"AREA#020051601","020051601",5,16,1,"5_16_1",404,10.32
"AREA#020051602","020051602",5,16,2,"5_16_2",287,8.36
"AREA#020051603","020051603",5,16,3,"5_16_3",217,8.59
"AREA#020051604","020051604",5,16,4,"5_16_4",390,7.83
"AREA#020051605","020051605",5,16,5,"5_16_5",376,8.65
"AREA#020051606","020051606",5,16,6,"5_16_6",309,8.64
"AREA#020051607","020051607",5,16,7,"5_16_7",249,8.25
"AREA#020051608","020051608",5,16,8,"5_16_8",376,8.47
"AREA#020051609","020051609",5,16,9,"5_16_9",395,8.26
"AREA#020051610","020051610",5,16,10,"5_16_10",388,8.13
"AREA#020051611","020051611",5,16,11,"5_16_11",426,8.53
"AREA#020051701","020051701",5,17,1,"5_17_1",290,8.63
"AREA#020051702","020051702",5,17,2,"5_17_2",353,8.78
"AREA#020051703","020051703",5,17,3,"5_17_3",317,9.69
"AREA#020051704","020051704",5,17,4,"5_17_4",298,9.1
"AREA#020051705","020051705",5,17,5,"5_17_5",309,10.19
"AREA#020051706","020051706",5,17,6,"5_17_6",341,9.93
"AREA#020051707","020051707",5,17,7,"5_17_7",330,9.36
"AREA#020051708","020051708",5,17,8,"5_17_8",385,9.46
"AREA#020051709","020051709",5,17,9,"5_17_9",253,9.02
"AREA#020051710","020051710",5,17,10,"5_17_10",281,9
"AREA#020051711","020051711",5,17,11,"5_17_11",428,10.19
"AREA#020051801","020051801",5,18,1,"5_18_1",423,9.66
"AREA#020051802","020051802",5,18,2,"5_18_2",375,9.08
"AREA#020051803","020051803",5,18,3,"5_18_3",343,9.21
"AREA#020051804","020051804",5,18,4,"5_18_4",279,9.17
"AREA#020051805","020051805",5,18,5,"5_18_5",336,8.28
"AREA#020051806","020051806",5,18,6,"5_18_6",243,8.51
"AREA#020051807","020051807",5,18,7,"5_18_7",309,10.03
"AREA#020051808","020051808",5,18,8,"5_18_8",149,8.48
"AREA#020051809","020051809",5,18,9,"5_18_9",267,8.59
"AREA#020051810","020051810",5,18,10,"5_18_10",344,8.92
"AREA#020051811","020051811",5,18,11,"5_18_11",316,9.44
"AREA#020051901","020051901",5,19,1,"5_19_1",344,8.71
"AREA#020051902","020051902",5,19,2,"5_19_2",282,8.52
"AREA#020051903","020051903",5,19,3,"5_19_3",407,8.66
"AREA#020051904","020051904",5,19,4,"5_19_4",398,8.26
"AREA#020051905","020051905",5,19,5,"5_19_5",334,8.22
"AREA#020051906","020051906",5,19,6,"5_19_6",331,8.53
"AREA#020051907","020051907",5,19,7,"5_19_7",199,8.93
"AREA#020051908","020051908",5,19,8,"5_19_8",430,9.05
"AREA#020051909","020051909",5,19,9,"5_19_9",294,9.39
"AREA#020051910","020051910",5,19,10,"5_19_10",364,8.94
"AREA#020051911","020051911",5,19,11,"5_19_11",437,9.22
"AREA#020052001","020052001",5,20,1,"5_20_1",318,8.58
"AREA#020052002","020052002",5,20,2,"5_20_2",411,8.25
"AREA#020052003","020052003",5,20,3,"5_20_3",386,7.16
"AREA#020052004","020052004",5,20,4,"5_20_4",314,8.61
"AREA#020052005","020052005",5,20,5,"5_20_5",332,7.37
"AREA#020052006","020052006",5,20,6,"5_20_6",288,7.64
"AREA#020052007","020052007",5,20,7,"5_20_7",315,7.59
"AREA#020052008","020052008",5,20,8,"5_20_8",317,7.24
"AREA#020052009","020052009",5,20,9,"5_20_9",327,7.44
"AREA#020052010","020052010",5,20,10,"5_20_10",380,7.74
"AREA#020052011","020052011",5,20,11,"5_20_11",302,7.68
"AREA#020052012","020052012",5,20,12,"5_20_12",300,7.43
"AREA#020052101","020052101",5,21,1,"5_21_1",378,9.57
"AREA#020052102","020052102",5,21,2,"5_21_2",350,8.36
"AREA#020052103","020052103",5,21,3,"5_21_3",210,8.59
"AREA#020052104","020052104",5,21,4,"5_21_4",371,8.33
"AREA#020052105","020052105",5,21,5,"5_21_5",266,8.42
"AREA#020052106","020052106",5,21,6,"5_21_6",337,8.71
"AREA#020052107","020052107",5,21,7,"5_21_7",258,8.29
"AREA#020052108","020052108",5,21,8,"5_21_8",251,7.37
"AREA#020052109","020052109",5,21,9,"5_21_9",238,7.71
"AREA#020052110","020052110",5,21,10,"5_21_10",254,8.13
"AREA#020052111","020052111",5,21,11,"5_21_11",245,7.92
"AREA#020052201","020052201",5,22,1,"5_22_1",261,8.38
"AREA#020052202","020052202",5,22,2,"5_22_2",292,7.73
"AREA#020052203","020052203",5,22,3,"5_22_3",261,8.31
"AREA#020052204","020052204",5,22,4,"5_22_4",362,8.36
"AREA#020052205","020052205",5,22,5,"5_22_5",277,7.88
"AREA#020052206","020052206",5,22,6,"5_22_6",332,8.06
"AREA#020052207","020052207",5,22,7,"5_22_7",724,8.13
"AREA#020052208","020052208",5,22,8,"5_22_8",246,7.26
"AREA#020052209","020052209",5,22,9,"5_22_9",279,7.24
"AREA#020052210","020052210",5,22,10,"5_22_10",296,7.32
"AREA#020052211","020052211",5,22,11,"5_22_11",320,8.22
"AREA#020052212","020052212",5,22,12,"5_22_12",326,7.9
"AREA#020052213","020052213",5,22,13,"5_22_13",219,6.84
"AREA#020060101","020060101",6,1,1,"6_1_1",242,8.69
"AREA#020060102","020060102",6,1,2,"6_1_2",345,8.69
"AREA#020060103","020060103",6,1,3,"6_1_3",348,8.46
"AREA#020060104","020060104",6,1,4,"6_1_4",275,8.18
"AREA#020060105","020060105",6,1,5,"6_1_5",432,8.98
"AREA#020060106","020060106",6,1,6,"6_1_6",349,9
"AREA#020060107","020060107",6,1,7,"6_1_7",260,8.4
"AREA#020060108","020060108",6,1,8,"6_1_8",311,8.31
"AREA#020060109","020060109",6,1,9,"6_1_9",228,7.33
"AREA#020060110","020060110",6,1,10,"6_1_10",147,8.25
"AREA#020060111","020060111",6,1,11,"6_1_11",253,9.06
"AREA#020060112","020060112",6,1,12,"6_1_12",292,9.1
"AREA#020060201","020060201",6,2,1,"6_2_1",388,9.3
"AREA#020060202","020060202",6,2,2,"6_2_2",334,9.66
"AREA#020060203","020060203",6,2,3,"6_2_3",244,9.23
"AREA#020060204","020060204",6,2,4,"6_2_4",247,9.06
"AREA#020060205","020060205",6,2,5,"6_2_5",230,9.23
"AREA#020060206","020060206",6,2,6,"6_2_6",343,9.61
"AREA#020060207","020060207",6,2,7,"6_2_7",346,9.76
"AREA#020060208","020060208",6,2,8,"6_2_8",369,9.1
"AREA#020060209","020060209",6,2,9,"6_2_9",253,9.37
"AREA#020060210","020060210",6,2,10,"6_2_10",334,8.94
"AREA#020060211","020060211",6,2,11,"6_2_11",510,10.52
"AREA#020060301","020060301",6,3,1,"6_3_1",368,9.05
"AREA#020060302","020060302",6,3,2,"6_3_2",305,9.15
"AREA#020060303","020060303",6,3,3,"6_3_3",349,9.42
"AREA#020060304","020060304",6,3,4,"6_3_4",244,9.95
"AREA#020060305","020060305",6,3,5,"6_3_5",260,9.19
"AREA#020060306","020060306",6,3,6,"6_3_6",356,9.54
"AREA#020060307","020060307",6,3,7,"6_3_7",371,9.49
"AREA#020060308","020060308",6,3,8,"6_3_8",305,9.89
"AREA#020060309","020060309",6,3,9,"6_3_9",451,9.26
"AREA#020060310","020060310",6,3,10,"6_3_10",396,10.21
"AREA#020060401","020060401",6,4,1,"6_4_1",208,8.89
"AREA#020060402","020060402",6,4,2,"6_4_2",227,9.53
"AREA#020060403","020060403",6,4,3,"6_4_3",339,9.99
"AREA#020060404","020060404",6,4,4,"6_4_4",319,8.95
"AREA#020060405","020060405",6,4,5,"6_4_5",288,9.68
"AREA#020060406","020060406",6,4,6,"6_4_6",322,9.33
"AREA#020060407","020060407",6,4,7,"6_4_7",242,8.49
"AREA#020060408","020060408",6,4,8,"6_4_8",370,9.92
"AREA#020060409","020060409",6,4,9,"6_4_9",331,9.03
"AREA#020060410","020060410",6,4,10,"6_4_10",339,10.2
"AREA#020060411","020060411",6,4,11,"6_4_11",345,10.77
"AREA#020060501","020060501",6,5,1,"6_5_1",383,9.51
"AREA#020060502","020060502",6,5,2,"6_5_2",453,9.85
"AREA#020060503","020060503",6,5,3,"6_5_3",372,9.92
"AREA#020060504","020060504",6,5,4,"6_5_4",293,10.27
"AREA#020060505","020060505",6,5,5,"6_5_5",393,10.28
"AREA#020060506","020060506",6,5,6,"6_5_6",304,9.75
"AREA#020060507","020060507",6,5,7,"6_5_7",334,9.74
"AREA#020060508","020060508",6,5,8,"6_5_8",205,10.41
"AREA#020060509","020060509",6,5,9,"6_5_9",237,10.21
"AREA#020060510","020060510",6,5,10,"6_5_10",407,9.17
"AREA#020060511","020060511",6,5,11,"6_5_11",416,10.06
"AREA#020060512","020060512",6,5,12,"6_5_12",159,9.68
"AREA#020060601","020060601",6,6,1,"6_6_1",546,10.26
"AREA#020060602","020060602",6,6,2,"6_6_2",792,10.81
"AREA#020060603","020060603",6,6,3,"6_6_3",509,10.21
"AREA#020060604","020060604",6,6,4,"6_6_4",226,9.51
"AREA#020060605","020060605",6,6,5,"6_6_5",202,10.68
"AREA#020060606","020060606",6,6,6,"6_6_6",334,10.19
"AREA#020060607","020060607",6,6,7,"6_6_7",350,10.17
"AREA#020060608","020060608",6,6,8,"6_6_8",410,9.82
"AREA#020060609","020060609",6,6,9,"6_6_9",357,10.13
"AREA#020060701","020060701",6,7,1,"6_7_1",280,10.18
