;;;
;;;
;;;
0;133;20;20
1;530;80;100
Total;663;100;100
;;;
AREA # 020010402;45;;
;;;
Categorías;Casos;%;Acumulado %
0;86;14;14
1;530;86;100
Total;616;100;100
;;;
AREA # 020010403;46;;
;;;
Categorías;Casos;%;Acumulado %
0;57;12;12
1;413;88;100
Total;470;100;100
;;;
AREA # 020010404;47;;
;;;
Categorías;Casos;%;Acumulado %
0;72;12;12
1;533;88;100
Total;605;100;100
;;;
AREA # 020010405;48;;
;;;
Categorías;Casos;%;Acumulado %
0;31;8;8
1;353;92;100
Total;384;100;100
;;;
AREA # 020010406;49;;
;;;
Categorías;Casos;%;Acumulado %
0;44;9;9
1;443;91;100
Total;487;100;100
;;;
AREA # 020010407;50;;
;;;
Categorías;Casos;%;Acumulado %
0;90;16;16
1;461;84;100
Total;551;100;100
;;;
AREA # 020010408;51;;
;;;
Categorías;Casos;%;Acumulado %
0;44;10;10
1;408;90;100
Total;452;100;100
;;;
AREA # 020010501;52;;
;;;
Categorías;Casos;%;Acumulado %
0;26;10;10
1;231;90;100
Total;257;100;100
;;;
AREA # 020010502;53;;
;;;
Categorías;Casos;%;Acumulado %
0;23;10;10
1;217;90;100
Total;240;100;100
;;;
AREA # 020010503;54;;
;;;
Categorías;Casos;%;Acumulado %
0;42;10;10
1;366;90;100
Total;408;100;100
;;;
AREA # 020010504;55;;
;;;
Categorías;Casos;%;Acumulado %
0;50;10;10
1;441;90;100
Total;491;100;100
;;;
AREA # 020010505;56;;
;;;
Categorías;Casos;%;Acumulado %
0;36;15;15
1;208;85;100
Total;244;100;100
;;;
AREA # 020010506;57;;
;;;
Categorías;Casos;%;Acumulado %
0;39;11;11
1;329;89;100
Total;368;100;100
;;;
AREA # 020010507;58;;
;;;
Categorías;Casos;%;Acumulado %
0;23;9;9
1;247;91;100
Total;270;100;100
;;;
AREA # 020010601;59;;
;;;
Categorías;Casos;%;Acumulado %
0;38;12;12
1;292;88;100
Total;330;100;100
;;;
AREA # 020010602;60;;
;;;
Categorías;Casos;%;Acumulado %
0;28;13;13
1;184;87;100
Total;212;100;100
;;;
AREA # 020010603;61;;
;;;
Categorías;Casos;%;Acumulado %
0;62;15;15
1;365;85;100
Total;427;100;100
;;;
AREA # 020010604;62;;
;;;
Categorías;Casos;%;Acumulado %
0;69;17;17
1;328;83;100
Total;397;100;100
;;;
AREA # 020010605;63;;
;;;
Categorías;Casos;%;Acumulado %
0;20;12;12
1;150;88;100
Total;170;100;100
;;;
AREA # 020010606;64;;
;;;
Categorías;Casos;%;Acumulado %
0;34;13;13
1;220;87;100
Total;254;100;100
;;;
AREA # 020010607;65;;
;;;
Categorías;Casos;%;Acumulado %
0;30;13;13
1;197;87;100
Total;227;100;100
;;;
AREA # 020010608;66;;
;;;
Categorías;Casos;%;Acumulado %
0;52;17;17
1;250;83;100
Total;302;100;100
;;;
AREA # 020010609;67;;
;;;
Categorías;Casos;%;Acumulado %
0;44;11;11
1;375;90;100
Total;419;100;100
;;;
AREA # 020010610;68;;
;;;
Categorías;Casos;%;Acumulado %
0;30;15;15
1;165;85;100
Total;195;100;100
;;;
AREA # 020010701;69;;
;;;
Categorías;Casos;%;Acumulado %
0;35;13;13
1;231;87;100
Total;266;100;100
;;;
AREA # 020010702;70;;
;;;
Categorías;Casos;%;Acumulado %
0;29;24;24
1;94;76;100
Total;123;100;100
;;;
AREA # 020010703;71;;
;;;
Categorías;Casos;%;Acumulado %
0;18;14;14
1;110;86;100
Total;128;100;100
;;;
AREA # 020010704;72;;
;;;
Categorías;Casos;%;Acumulado %
0;46;16;16
1;235;84;100
Total;281;100;100
;;;
AREA # 020010705;73;;
;;;
Categorías;Casos;%;Acumulado %
0;33;22;22
1;116;78;100
Total;149;100;100
;;;
AREA # 020010706;74;;
;;;
Categorías;Casos;%;Acumulado %
0;21;25;25
1;63;75;100
Total;84;100;100
;;;
AREA # 020010707;75;;
;;;
Categorías;Casos;%;Acumulado %
0;37;15;15
1;214;85;100
Total;251;100;100
;;;
AREA # 020010708;76;;
;;;
Categorías;Casos;%;Acumulado %
0;48;20;20
1;194;80;100
Total;242;100;100
;;;
AREA # 020010709;77;;
;;;
Categorías;Casos;%;Acumulado %
0;28;15;15
1;156;85;100
Total;184;100;100
;;;
AREA # 020010710;78;;
;;;
Categorías;Casos;%;Acumulado %
0;23;10;10
1;210;90;100
Total;233;100;100
;;;
AREA # 020010711;79;;
;;;
Categorías;Casos;%;Acumulado %
0;29;21;21
1;111;79;100
Total;140;100;100
;;;
AREA # 020010712;80;;
;;;
Categorías;Casos;%;Acumulado %
0;26;15;15
1;153;85;100
Total;179;100;100
;;;
AREA # 020010713;81;;
;;;
Categorías;Casos;%;Acumulado %
0;17;25;25
1;52;75;100
Total;69;100;100
;;;
AREA # 020010801;82;;
;;;
Categorías;Casos;%;Acumulado %
0;30;16;16
1;159;84;100
Total;189;100;100
;;;
AREA # 020010802;83;;
;;;
Categorías;Casos;%;Acumulado %
0;63;11;11
1;505;89;100
Total;568;100;100
;;;
AREA # 020010803;84;;
;;;
Categorías;Casos;%;Acumulado %
0;69;15;15
1;384;85;100
Total;453;100;100
;;;
AREA # 020010804;85;;
;;;
Categorías;Casos;%;Acumulado %
0;47;16;16
1;251;84;100
Total;298;100;100
;;;
AREA # 020010805;86;;
;;;
Categorías;Casos;%;Acumulado %
0;38;18;18
1;178;82;100
Total;216;100;100
;;;
AREA # 020010806;87;;
;;;
Categorías;Casos;%;Acumulado %
0;53;9;9
1;521;91;100
Total;574;100;100
;;;
AREA # 020010807;88;;
;;;
Categorías;Casos;%;Acumulado %
0;41;7;7
1;521;93;100
Total;562;100;100
;;;
AREA # 020010808;89;;
;;;
Categorías;Casos;%;Acumulado %
0;27;14;14
